Date,Sec1,Sec2,Sec3,Sec4,Sec5,Sec6,Sec7,Sec8,Sec9,Sec10,,B1
2019-05-03,0.009,0.006,0.008,0.012,0.01,0.012,0.008,0.009,0.009,0.009,,0.01
2019-05-06,-0.007,-0.005,-0.002,-0.006,-0.014,-0.01,0.005,-0.008,0.001,-0.005,,-0.004
2019-05-07,-0.016,-0.003,-0.01,-0.015,-0.018,-0.02,-0.019,-0.021,-0.009,-0.015,,-0.017
2019-05-08,-0.002,-0.014,0,0,-0.001,0,0.002,-0.001,0,-0.002,,-0.001
2019-05-09,-0.002,-0.001,-0.002,-0.004,-0.008,-0.001,-0.002,-0.007,0,-0.003,,-0.003
2019-05-10,0.007,0.018,0.012,0.001,0.014,0.004,0,0.003,0.005,0.007,,0.005
2019-05-13,-0.029,0.011,-0.009,-0.03,-0.022,-0.028,-0.019,-0.038,-0.017,-0.02,,-0.025
2019-05-14,0.008,-0.007,0.005,0.01,0.009,0.01,0.005,0.016,0.012,0.008,,0.009
2019-05-15,-0.004,-0.002,0.008,0.007,-0.003,0.001,0.003,0.011,0.005,0.003,,0.006
2019-05-16,0.01,0.007,0.008,0.009,0.014,0.009,0.008,0.009,0.005,0.009,,0.009
2019-05-17,-0.007,0.005,-0.003,-0.008,-0.006,-0.011,-0.002,-0.008,-0.01,-0.006,,-0.006
2019-05-20,0.001,0.001,-0.002,-0.007,-0.014,-0.003,0,-0.017,0,-0.005,,-0.007
2019-05-21,0.01,0.002,-0.002,0.007,0.015,0.012,0.009,0.012,0.012,0.009,,0.009
2019-05-22,-0.006,0.007,0.005,-0.01,-0.007,-0.008,0.006,-0.005,-0.015,-0.004,,-0.003
2019-05-23,-0.014,0.009,0,-0.012,-0.015,-0.015,-0.003,-0.018,-0.034,-0.011,,-0.012
2019-05-24,0.008,-0.002,-0.004,0.001,0.006,0,0.001,0,0.004,0.002,,0.002
2019-05-28,-0.012,-0.016,-0.016,-0.007,-0.01,-0.009,-0.014,-0.003,-0.01,-0.011,,-0.009
2019-05-29,-0.002,-0.013,-0.007,-0.009,0,-0.005,-0.01,-0.006,-0.006,-0.006,,-0.007
